jurisdiction,hispanic,white,black,asian,other
Carlsbad,0.1417,0.7372,0.0103,0.0737,0.0372
Chula Vista,0.5883,0.2007,0.0363,0.1396,0.0351
Coronado,0.1502,0.7208,0.0532,0.0354,0.0404
Del Mar,0.0472,0.8985,0.0014,0.0293,0.0236
El Cajon,0.2947,0.5616,0.0547,0.0334,0.0555
Encinitas,0.1517,0.7696,0.0047,0.0430,0.0310
Escondido,0.5083,0.3891,0.0179,0.0577,0.0270
Imperial Beach,0.5139,0.3427,0.0362,0.0605,0.0468
La Mesa,0.2211,0.6024,0.0681,0.0583,0.0501
Lemon Grove,0.4517,0.3275,0.1125,0.0578,0.0505
National City,0.6488,0.1124,0.0398,0.1708,0.0282
Oceanside,0.3771,0.4716,0.0374,0.0631,0.0507
Poway,0.1702,0.6693,0.0136,0.1082,0.0387
San Diego,0.2986,0.4389,0.0565,0.1637,0.0423
San Marcos,0.3731,0.4843,0.0203,0.0853,0.0370
Santee,0.1723,0.7282,0.0169,0.0373,0.0452
Solana Beach,0.1714,0.7571,0.0038,0.0411,0.0266
Vista,0.4913,0.4068,0.0245,0.0407,0.0368
Unincorporated,0.2808,0.5795,0.0359,0.0532,0.0506
